date,subnet_id,avg_price,num_samples,min_price,max_price,std_price
2025-02-16,1,0.02515880745454545,22,0.019369144,0.037255803,0.004703125248680241
2025-02-16,2,0.007347832772727272,22,0.006155439,0.008701019,0.0005939887601211654
2025-02-16,3,0.014882577363636363,22,0.012855522,0.018020344,0.0015130639967710282
2025-02-16,4,0.16167490118181818,22,0.140718951,0.20286606,0.01792037838061114
2025-02-16,5,0.019410296818181818,22,0.01717664,0.02361273,0.0024873061660668255
2025-02-16,6,0.015928709818181817,22,0.013987746,0.018980613,0.001449523299498498
2025-02-16,7,0.002493969954545455,22,0.00196844,0.002667791,0.00014720609644190873
2025-02-16,8,0.055181520000000005,22,0.048174849,0.068982463,0.006754138968604007
2025-02-16,9,0.016267784909090907,22,0.014557817,0.018032908,0.0012418925638292056
2025-02-16,10,0.03531485304545454,22,0.0275429,0.041855932,0.0033399478777924544
2025-02-16,11,0.02458823718181818,22,0.022491724,0.026975734,0.0014255605547985291
2025-02-16,12,0.005698667954545455,22,0.005066924,0.006295005,0.00033654254931462694
2025-02-16,13,0.031294858863636366,22,0.02144845,0.03761618,0.004260478976885002
2025-02-16,14,0.004460420045454546,22,0.003873962,0.005164388,0.0003146018211114121
2025-02-16,15,0.0039144581363636365,22,0.003512014,0.004683788,0.00030480789360362007
2025-02-16,16,0.008376978863636364,22,0.006341968,0.009759445,0.001080165460694632
2025-02-16,17,0.007559705272727272,22,0.00684694,0.007955148,0.0002694003024934106
2025-02-16,18,0.005878340363636363,22,0.004919383,0.006601595,0.000479798186174497
2025-02-16,19,0.054862356318181815,22,0.033929429,0.090412324,0.018070356423445014
2025-02-16,20,0.009795351454545454,22,0.008267589,0.011105202,0.0007794631945356913
2025-02-16,21,0.007434069181818182,22,0.005776316,0.011401695,0.0016505446357308457
2025-02-16,22,0.006592704499999999,22,0.005717854,0.007300145,0.00040414327945393984
2025-02-16,23,0.002148970590909091,22,0.001540945,0.004368957,0.0007600165256382296
2025-02-16,24,0.008530907545454545,22,0.00671671,0.010092674,0.0010936463315026103
2025-02-16,25,0.007452641136363636,22,0.003968833,0.010541608,0.0020577589754327236
2025-02-16,26,0.002613950090909091,22,0.002254729,0.003051584,0.00023100951645743127
2025-02-16,27,0.00875607440909091,22,0.006798829,0.011423407,0.0014694068692210362
2025-02-16,28,0.012817560954545454,22,0.010886519,0.015997899,0.0013053275099728977
2025-02-16,29,0.014101403909090909,22,0.010283497,0.019254356,0.0033908655767777877
2025-02-16,30,0.017000848,22,0.013230605,0.022997487,0.003997797425974718
2025-02-16,31,0.005038602545454546,22,0.003662987,0.005660221,0.0005884019078085461
2025-02-16,32,0.009582054727272728,22,0.00696702,0.011198321,0.0012704660127440366
2025-02-16,33,0.014117285590909091,22,0.01188709,0.01633192,0.0014036084663654699
2025-02-16,34,0.0832442249090909,22,0.069989506,0.10197189,0.011603994534493308
2025-02-16,35,0.011564400727272727,22,0.008476134,0.015318543,0.0024619376915569332
2025-02-16,36,0.002928230409090909,22,0.002501071,0.003304697,0.0002549417902795065
2025-02-16,37,0.004646356363636364,22,0.003543225,0.005226538,0.00047309663841278824
2025-02-16,38,0.0033760143181818182,22,0.002870105,0.004087072,0.0003605540826549877
2025-02-16,39,0.002601251272727273,22,0.002387589,0.003017202,0.00015505580008505777
2025-02-16,40,0.007956891045454545,22,0.007405152,0.008422964,0.00035279172481582116
2025-02-16,41,0.00989384390909091,22,0.008355844,0.01108776,0.0006013708292985514
2025-02-16,42,0.022674157818181818,22,0.016526327,0.026441022,0.0033045491206891314
2025-02-16,43,0.009100055454545454,22,0.00789635,0.009828996,0.0005509878978602437
2025-02-16,44,0.009648338136363637,22,0.007722812,0.012292436,0.0014320733055748652
2025-02-16,45,0.03267379209090909,22,0.009006155,0.04157841,0.00886856025156316
2025-02-16,46,0.013076811727272729,22,0.010856907,0.015729999,0.0014369813620065534
2025-02-16,47,0.0051315769545454545,22,0.004316509,0.005832942,0.0004710593631939732
2025-02-16,48,0.014618207136363637,22,0.010230572,0.020182929,0.0037174594067706196
2025-02-16,49,0.002805095772727273,22,0.002290666,0.003291411,0.0002989466357420957
2025-02-16,50,0.015485239681818181,22,0.014035209,0.016358888,0.0006680453982221913
2025-02-16,51,0.07209919990909092,22,0.05760709,0.099284348,0.013461960116433781
2025-02-16,52,0.008685665909090909,22,0.007505052,0.009507985,0.0005967698718703744
2025-02-16,53,0.021590499818181817,22,0.016580037,0.029129072,0.0050501358174511405
2025-02-16,54,0.002392556136363636,22,0.001682297,0.00262823,0.00024867273023265247
2025-02-16,55,0.005390865727272727,22,0.003896296,0.006135705,0.00060884977828902
2025-02-16,56,0.010659313136363636,22,0.009122137,0.013360035,0.0013853806872509212
2025-02-16,57,0.008690279090909091,22,0.007983812,0.009924443,0.0007100586482707514
2025-02-16,58,0.014546973136363635,22,0.011270891,0.016261167,0.0014187712255704246
2025-02-16,59,0.006570474045454546,22,0.005612373,0.007745147,0.0006874236396792412
2025-02-16,60,0.006162106590909091,22,0.004673571,0.006808328,0.000636989708071949
2025-02-16,61,0.008492345681818182,22,0.007084875,0.009911049,0.0008812921738432554
2025-02-16,62,0.0055484680454545455,22,0.004275512,0.006713701,0.0006419796467301431
2025-02-16,63,0.002501458909090909,22,0.002249535,0.002601891,7.264939328420268e-05
2025-02-16,64,0.13102321718181817,22,0.105924195,0.180260948,0.020719360572242627
2025-02-17,1,0.030749429791666668,24,0.028701671,0.034711053,0.001668661922508337
2025-02-17,2,0.007222096083333333,24,0.006447697,0.008387946,0.0006125283173200642
